title,date,text,auhor,category,url
"De cada 4 venezuelanos, 1 precisa de ajuda humanitária urgente",04.04.19 21:00,"Um documento de 45 páginas vazado da ONU calcula que 7 milhões de venezuelanos –ou seja, uma de cada quatro pessoas no país– precisem de ajuda humanitária urgente.",Ernesto,Mundo,https://www.oantagonista.com/mundo/de-cada-4-venezuelanos-1-precisa-de-ajuda-humanitaria-urgente/
"Publicação contra o Hamas é página virada, diz Flávio Bolsonaro",04.04.19 14:39,"De volta de Israel, onde fez parte da comitiva do pai, Flávio Bolsonaro disse que sua publicação no Twitter contra o grupo terrorista Hamas –depois apagada– é “página virada”.",Heloisa,Mundo,https://www.oantagonista.com/mundo/publicacao-contra-o-hamas-e-pagina-virada-diz-flavio-bolsonaro/
Maduro despacha do bunker,04.04.19 18:00,"O ditador Nicolás Maduro não despacha do Palácio Miraflores, sede do Poder Executivo da Venezuela, há pelo menos duas semanas, relata Duda Teixeira em ",Nina,Mundo,https://www.oantagonista.com/mundo/maduro-despacha-bunker/
Ex-estrategista de Trump volta a atacar Mourão,04.04.19 18:40,"Steve Bannon, ex-estrategista de Donald Trump, disse à Folha que é inaceitável um vice-presidente como Hamilton Mourão manter postura antagônica à de Jair Bolsonaro.",Cino,Mundo,https://www.oantagonista.com/mundo/ex-estrategista-de-trump-volta-atacar-mourao/
Ditadura da Venezuela prende 47 por pedirem luz e água,04.04.19 19:00,"Entre 29 de março e 1º de abril, 47 pessoas foram presas pela ditadura de Nicolás Maduro por protestar contra a falta de luz e de água.",GILMAR,Mundo,https://www.oantagonista.com/mundo/ditadura-da-venezuela-prende-47-por-pedirem-luz-e-agua/
Confira a íntegra do telegrama do Itamaraty à ONU em defesa do “movimento de 1964”,04.04.19 19:11," obteve a íntegra do telegrama encaminhado pelo Itamaraty ao argentino Fabian Salvioli, relator independente para a promoção da Verdade, Justiça e Reparação da ONU.",RobertoSilvaRJ,Mundo,https://www.oantagonista.com/mundo/confira-integra-telegrama-itamaraty-onu-em-defesa-movimento-de-1964/
title,date,text,auhor,category,url
Maduro prepara-se para mandar prender Guaidó,05.04.19 16:13,Na ,Marcelo,Mundo,https://www.oantagonista.com/mundo/maduro-prepara-se-para-mandar-prender-guaido/
Senadora nega pressão de Flávio contra CPI da Lava Toga,05.04.19 18:59,"Soraya Thronicke, senadora pelo PSL de Mato Grosso do Sul, negou ter sido pressionada por Flávio Bolsonaro para tirar sua assinatura do requerimento da CPI da Lava Toga.",le,Brasil,https://www.oantagonista.com/brasil/senadora-nega-pressao-de-flavio-contra-cpi-da-lava-toga/
"De Temer para Joesley: “Obrigado aí  por tudo, viu?”",05.04.19 19:05,"Na reportagem “A festa do boi”, da Crusoé, Michel Temer cai num grampo da PF em conversa com Joesley Batista, na noite da reeleição de Dilma Rousseff, em 2014.",Gaudério,Brasil,https://www.oantagonista.com/brasil/de-temer-para-joesley-obrigado-ai-por-tudo-viu/
"Não quero problema com a Palestina, afirma Bolsonaro",05.04.19 19:24,"Jair Bolsonaro disse hoje não querer polêmica com a Palestina e afirmou que visitará “dois ou três” países árabes no início do segundo semestre, registra a Folha.",Márcia,Brasil,https://www.oantagonista.com/brasil/nao-quero-problema-com-a-palestina-afirma-bolsonaro/
Hamas chama Flávio Bolsonaro de ‘filho de extremista’,05.04.19 17:49,"O Hamas, grupo terrorista que controla a faixa de Gaza, respondeu ao tuíte publicado –e depois apagado– por Flávio Bolsonaro, que disse querer que o grupo “se exploda”, registra o Estadão.",Sérgio,Mundo,https://www.oantagonista.com/mundo/hamas-chama-flavio-bolsonaro-de-filho-de-extremista/
Defesa de Aécio nega que campanha tucana tenha recebido repasse de propina de Cabral,05.04.19 19:23,"Como publicamos, Sérgio Cabral disse a Marcelo Bretas que repassou 1,5 milhão de reais de propina à campanha de Aécio Neves, em 2014.",le,Brasil,https://www.oantagonista.com/brasil/defesa-de-aecio-nega-que-campanha-tucana-tenha-recebido-repasse-de-propina-de-cabral/
"Enquanto isso, a selvageria no Rio",04.04.19 10:26,"Roberto Almeida, espancado por outros torcedores no meio da rua em Copacabana ontem, continua internado em estado grave.",Ryu,Sociedade,https://www.oantagonista.com/sociedade/enquanto-isso-selvageria-no-rio/
Moro apresenta a Bolsonaro plano contra crimes violentos,04.04.19 16:02,"Sergio Moro apresentou hoje a Jair Bolsonaro um projeto para reduzir crimes violentos, informa o UOL.",Carlos,Sociedade,https://www.oantagonista.com/sociedade/moro-apresenta-bolsonaro-plano-contra-crimes-violentos/
Bolsonaro oficializa fim do horário de verão,05.04.19 17:44,"O porta-voz da Presidência, Otávio do Rêgo Barros, informou hoje que não haverá horário de verão neste ano, registra o G1.",Apolinário,Sociedade,https://www.oantagonista.com/sociedade/bolsonaro-oficializa-fim-do-horario-de-verao/
Brexit adiado,05.04.19 05:42,A União Européia ofereceu o adiamento do Brexit por um ano.,Serena,Economia,https://www.oantagonista.com/economia/brexit-adiado-2/
O crachá dos milicianos de Maduro,05.04.19 17:19,"Os membros dos “coletivos”, as milícias paramilitares que disparam contra a população nos protestos contra a ditadura de Nicolás Maduro, têm crachá de identificação.",Xavier,Mundo,https://www.oantagonista.com/mundo/o-cracha-dos-milicianos-de-maduro/
A fuga para o Paraguai,05.04.19 10:13,"No evento do Lide de João Doria, em Campos do Jordão, empresários comentam nos bastidores que “está muito melhor para investir no Paraguai”, onde custo e burocracia são menores do que no Brasil.",José,Economia,https://www.oantagonista.com/economia/fuga-para-o-paraguai/
AGU quer desistir de metade dos recursos no STJ contra concessão de aposentadorias,05.04.19 11:28,A Advocacia-Geral da União pretende desistir de até 50% dos recursos apresentados em favor do INSS no Superior Tribunal de Justiça que questionam a concessão de aposentadorias.,XYZ,Economia,https://www.oantagonista.com/economia/agu-quer-desistir-de-metade-dos-recursos-no-stj-contra-concessao-de-aposentadorias/
"Cabral diz ter repassado R$ 1,5 mi em propina para campanha de Aécio",05.04.19 18:45,"No depoimento de hoje a Marcelo Bretas, Sérgio Cabral também disse ter enviado à campanha de Aécio Neves à Presidência, em 2014, R$ 1,5 milhão oriundo do pagamento de propinas no Rio.",Rocha,Brasil,https://www.oantagonista.com/brasil/cabral-diz-ter-repassado-r-15-mi-em-propina-para-campanha-de-aecio/
Vingadores do Cinemark,03.04.19 08:47,"O boicote ao Cinemark, segundo O Globo, não deu muito certo.",PAULOQUARESMA,Cultura,https://www.oantagonista.com/cultura/vingadores-do-cinemark/
"Nana Caymmi chama Gil, Caetano e Chico de ‘chupadores de pau de Lula’",28.03.19 17:41,"Nana Caymmi, que está lançando disco novo, soltou o verbo em entrevista à Folha, na qual diz ter votado em Jair Bolsonaro no segundo turno –na contramão da maioria de seus colegas artistas.",nicola,Cultura,https://www.oantagonista.com/cultura/nana-caymmi-chama-gil-caetano-e-chico-de-chupadores-de-pau-de-lula/
Agamenon: “Queda de Bruços”               ,31.03.19 06:00,"É melhor Jair se acostumando: o governo do presidente “Bozo”naro é uma palhaçada! Para aumentar as trapalhadas do capitão, ainda tem o animado trio de filhos −Moe, Larry e Shemp Bolsonaro, Os Três Patetas mais votados do Brasil.",Tereza,Cultura,https://www.oantagonista.com/cultura/agamenon-queda-de-brucos/
Agamenon: “A Justiça Farda Mas Não Talha!”,18.03.19 09:20,"O STF, Supremo Tribunal de Frango, aprontou mais uma: vai mandar pra Justiça Eleitoral os políticos acusados de pensar fora da caixa, Caixa 2. Realmente, esses nossos juízes não se emendam, mesmo porque a emenda tem que ser constitucional.",Volmer,Cultura,https://www.oantagonista.com/cultura/agamenon-justica-farda-mas-nao-talha/
"De cada 4 venezuelanos, 1 precisa de ajuda humanitária urgente",04.04.19 21:00,"Um documento de 45 páginas vazado da ONU calcula que 7 milhões de venezuelanos –ou seja, uma de cada quatro pessoas no país– precisem de ajuda humanitária urgente.",herika.alboresi@gmai,Mundo,https://www.oantagonista.com/mundo/de-cada-4-venezuelanos-1-precisa-de-ajuda-humanitaria-urgente/
Google se rende à ditadura do politicamente correto,05.04.19 13:27,Durou uma semana o comitê de ética criado pelo Google para fiscalizar o desenvolvimento na área de inteligência artificial.,-ORGULHO-PAULISTA-,Sociedade,https://www.oantagonista.com/sociedade/google-se-rende-a-ditadura-do-politicamente-correto/
"Reforma, reforma e reforma",05.04.19 10:06,"No evento do Lide de João Doria em Campos de Jordão, só se fala na reforma da Previdência.",claudio,Economia,https://www.oantagonista.com/economia/reforma-reforma-e-reforma/
Salário mínimo sem aumento real,05.04.19 09:45,"Jair Bolsonaro quer que o salário mínimo seja corrigido apenas pela inflação, sem aumento real.",Natan,Economia,https://www.oantagonista.com/economia/salario-minimo-sem-aumento-real-2/
SERVIDORES DA RECEITA ACESSARAM ILEGALMENTE DADOS FISCAIS DE BOLSONARO E FAMÍLIA,05.04.19 18:57,A Receita Federal acaba de soltar nota informando que dois servidores acessaram ilegalmente informações fiscais de Jair Bolsonaro e familiares.,Sergio,Brasil,https://www.oantagonista.com/brasil/servidores-da-receita-acessaram-ilegalmente-dados-fiscais-de-bolsonaro-e-familia/
Ana Paula e o politicamente insano,05.04.19 07:47,Ana Paula Henkel escreveu para a ,Brutus,Sociedade,https://www.oantagonista.com/sociedade/ana-paula-e-o-politicamente-insano/
Justiça bloqueia R$ 100 milhões da Braskem por afundamento de bairro em Maceió,04.04.19 19:37,"A Justiça de Alagoas determinou hoje o bloqueio de R$ 100 milhões da Braskem, indústria química do grupo Odebrecht, registra a Folha.",Roberto,Sociedade,https://www.oantagonista.com/sociedade/justica-bloqueia-r-100-milhoes-da-braskem-por-afundamento-de-bairro-em-maceio/
O campeão dos leilões,05.04.19 17:31,"O Ministério da Infraestrutura leiloou hoje mais seis terminais portuários no Pará, arrecadando quase R$ 450 milhões.",Sarcástico,Economia,https://www.oantagonista.com/economia/o-campeao-dos-leiloes/
Confira a íntegra do telegrama do Itamaraty à ONU em defesa do “movimento de 1964”,04.04.19 19:11," obteve a íntegra do telegrama encaminhado pelo Itamaraty ao argentino Fabian Salvioli, relator independente para a promoção da Verdade, Justiça e Reparação da ONU.",Robinson,Mundo,https://www.oantagonista.com/mundo/confira-integra-telegrama-itamaraty-onu-em-defesa-movimento-de-1964/
Ditadura da Venezuela prende 47 por pedirem luz e água,04.04.19 19:00,"Entre 29 de março e 1º de abril, 47 pessoas foram presas pela ditadura de Nicolás Maduro por protestar contra a falta de luz e de água.",Ezenildo,Mundo,https://www.oantagonista.com/mundo/ditadura-da-venezuela-prende-47-por-pedirem-luz-e-agua/
"Bolsonaro assegurou que Lei Rouanet vai continuar, diz Doria",26.03.19 17:11,"Depois de ir a Brasília para a reunião de governadores, João Doria participou de um evento, no Palácio dos Bandeirantes, para apresentar o projeto de restauro do Museu do Ipiranga a eventuais patrocinadores, relata a Folha.",Almanakut,Cultura,https://www.oantagonista.com/cultura/bolsonaro-assegurou-que-lei-rouanet-vai-continuar-diz-doria/
title,date,text,auhor,category,url
Ana Paula e o politicamente insano,05.04.19 07:47,Ana Paula Henkel escreveu para a ,Brutus,Sociedade,https://www.oantagonista.com/sociedade/ana-paula-e-o-politicamente-insano/
Moro apresenta a Bolsonaro plano contra crimes violentos,04.04.19 16:02,"Sergio Moro apresentou hoje a Jair Bolsonaro um projeto para reduzir crimes violentos, informa o UOL.",Carlos,Sociedade,https://www.oantagonista.com/sociedade/moro-apresenta-bolsonaro-plano-contra-crimes-violentos/
Relato de Cabral sobre indicação ao STJ deixa dúvida,05.04.19 20:10,"Ficou uma dúvida no relato de Sérgio Cabral sobre como, em 2011, t",BrasilSocialista,Brasil,https://www.oantagonista.com/brasil/relato-de-cabral-sobre-indicacao-ao-stj-deixa-duvida/
Pilotos da FAB se ejetaram antes da queda,05.04.19 19:41,"O Comando da Aeronáutica informa que dois pilotos da Força Aérea Brasileira (FAB) ejetaram-se, assim que detectaram uma falha técnica durante treinamento com o caça A-1 M.",TrHuMpH,Brasil,https://www.oantagonista.com/brasil/pilotos-da-fab-se-ejetaram-antes-da-queda/
Bolsonaro: ‘Procuravam algo para me incriminar na eleição’,05.04.19 20:47,"Jair Bolsonaro se manifestou no Twitter, agora à noite, sobre o caso dos servidores da Receita que acessaram ilegalmente dados fiscais seus e de sua família.",Maria,Brasil,https://www.oantagonista.com/brasil/bolsonaro-procuravam-algo-para-me-incriminar-na-eleicao/
Vélez Rodríguez na mira do MPF,05.04.19 21:17,"Na corda bamba, Ricardo Vélez Rodríguez recebeu hoje mais uma recomendação do Ministério Público Federal em Brasília para se abster de qualquer ato que atente contra “a laicidade do Estado e a liberdade religiosa dos estudantes”.",Sarcástico,Brasil,https://www.oantagonista.com/brasil/velez-rodriguez-na-mira-do-mpf/
Santos Cruz: Olavo de Carvalho ‘não tem importância nenhuma’,05.04.19 19:54,"Em entrevista à BBC nos EUA, onde participa da Brazil Conference, o general Carlos Alberto dos Santos Cruz disse que Olavo de Carvalho “não tem importância nenhuma”.",Joaquim,Brasil,https://www.oantagonista.com/brasil/santos-cruz-olavo-de-carvalho-nao-tem-importancia-nenhuma/
Brexit adiado,05.04.19 05:42,A União Européia ofereceu o adiamento do Brexit por um ano.,Serena,Economia,https://www.oantagonista.com/economia/brexit-adiado-2/
Ação quer suspender concessão do Maracanã para Flamengo e Fluminense,05.04.19 21:08,"Uma ação popular contesta a decisão de Wilson Witzel de ceder a clubes de futebol a administração temporária do Maracanã — hoje, mais cedo, o governador anunciou a concessão do estádio para o Flamengo e o Fluminense por 6 meses.",Nova,Brasil,https://www.oantagonista.com/brasil/acao-quer-suspender-concessao-do-maracana-para-flamengo-e-fluminense/
Google se rende à ditadura do politicamente correto,05.04.19 13:27,Durou uma semana o comitê de ética criado pelo Google para fiscalizar o desenvolvimento na área de inteligência artificial.,-ORGULHO-PAULISTA-,Sociedade,https://www.oantagonista.com/sociedade/google-se-rende-a-ditadura-do-politicamente-correto/
"Nana Caymmi chama Gil, Caetano e Chico de ‘chupadores de pau de Lula’",28.03.19 17:41,"Nana Caymmi, que está lançando disco novo, soltou o verbo em entrevista à Folha, na qual diz ter votado em Jair Bolsonaro no segundo turno –na contramão da maioria de seus colegas artistas.",nicola,Cultura,https://www.oantagonista.com/cultura/nana-caymmi-chama-gil-caetano-e-chico-de-chupadores-de-pau-de-lula/
"Enquanto isso, a selvageria no Rio",04.04.19 10:26,"Roberto Almeida, espancado por outros torcedores no meio da rua em Copacabana ontem, continua internado em estado grave.",Ryu,Sociedade,https://www.oantagonista.com/sociedade/enquanto-isso-selvageria-no-rio/
Justiça bloqueia R$ 100 milhões da Braskem por afundamento de bairro em Maceió,04.04.19 19:37,"A Justiça de Alagoas determinou hoje o bloqueio de R$ 100 milhões da Braskem, indústria química do grupo Odebrecht, registra a Folha.",Roberto,Sociedade,https://www.oantagonista.com/sociedade/justica-bloqueia-r-100-milhoes-da-braskem-por-afundamento-de-bairro-em-maceio/
"Bolsonaro assegurou que Lei Rouanet vai continuar, diz Doria",26.03.19 17:11,"Depois de ir a Brasília para a reunião de governadores, João Doria participou de um evento, no Palácio dos Bandeirantes, para apresentar o projeto de restauro do Museu do Ipiranga a eventuais patrocinadores, relata a Folha.",Almanakut,Cultura,https://www.oantagonista.com/cultura/bolsonaro-assegurou-que-lei-rouanet-vai-continuar-diz-doria/
"Reforma, reforma e reforma",05.04.19 10:06,"No evento do Lide de João Doria em Campos de Jordão, só se fala na reforma da Previdência.",claudio,Economia,https://www.oantagonista.com/economia/reforma-reforma-e-reforma/
EUA devem classificar Guarda Revolucionária do Irã como terrorista,05.04.19 20:29,"Os EUA devem designar a Guarda Revolucionária do Irã como uma organização terrorista, informaram à agência Reuters três autoridades norte-americanas.",Giusti,Mundo,https://www.oantagonista.com/mundo/eua-devem-classificar-guarda-revolucionaria-do-ira-como-terrorista/
Agamenon: “#DentroTemer!”  ,23.03.19 12:13,"O Brasil está acabando! Não vai ficar pedra sobre pedra, mesmo porque a pedreira foi superfaturada pela Roudebrecht. O senador Tasso Jereissati disse que essas prisões estão desmoralizando a política. Tem razão! Que democracia é essa que nem se pode mais roubar em paz, ganhar a vida desonestamente sem ser molestado pelos meganhas da Polícia Federal?",Luciano,Cultura,https://www.oantagonista.com/cultura/agamenon-dentrotemer/
Agamenon: “Queda de Bruços”               ,31.03.19 06:00,"É melhor Jair se acostumando: o governo do presidente “Bozo”naro é uma palhaçada! Para aumentar as trapalhadas do capitão, ainda tem o animado trio de filhos −Moe, Larry e Shemp Bolsonaro, Os Três Patetas mais votados do Brasil.",Tereza,Cultura,https://www.oantagonista.com/cultura/agamenon-queda-de-brucos/
Vingadores do Cinemark,03.04.19 08:47,"O boicote ao Cinemark, segundo O Globo, não deu muito certo.",PAULOQUARESMA,Cultura,https://www.oantagonista.com/cultura/vingadores-do-cinemark/
Maduro prepara-se para mandar prender Guaidó,05.04.19 16:13,Na ,EMMANUEL,Mundo,https://www.oantagonista.com/mundo/maduro-prepara-se-para-mandar-prender-guaido/
"De cada 4 venezuelanos, 1 precisa de ajuda humanitária urgente",04.04.19 21:00,"Um documento de 45 páginas vazado da ONU calcula que 7 milhões de venezuelanos –ou seja, uma de cada quatro pessoas no país– precisem de ajuda humanitária urgente.",herika.alboresi@gmai,Mundo,https://www.oantagonista.com/mundo/de-cada-4-venezuelanos-1-precisa-de-ajuda-humanitaria-urgente/
Hamas chama Flávio Bolsonaro de ‘filho de extremista’,05.04.19 17:49,"O Hamas, grupo terrorista que controla a faixa de Gaza, respondeu ao tuíte publicado –e depois apagado– por Flávio Bolsonaro, que disse querer que o grupo “se exploda”, registra o Estadão.",Rodrigo,Mundo,https://www.oantagonista.com/mundo/hamas-chama-flavio-bolsonaro-de-filho-de-extremista/
